cnpj,DataInicial,DataFinal,diasOperacao,rentabilidade,rentabilidadeCDI
15212130000165,2012-04-27,2020-05-07,2015,19.9539988261783,104.16659432224967
15198879000103,2012-05-10,2017-01-27,1189,-70.40090533636875,63.616707403573855
15296561000157,2012-06-12,2020-05-07,1972,108.23213752279726,102.16160320722882
12412740000114,2012-05-11,2020-05-07,2006,59.50319581377321,103.55825192757311
12474994000167,2010-10-20,2011-05-05,136,5.604938668043813,5.78717825884818
12533174000107,2011-05-11,2016-05-31,1272,7.3392711506110375,66.58140023578625
12580093000150,2010-11-03,2013-12-26,794,45.17340211610308,32.747030266237154
12798246000130,2010-11-22,2014-09-01,952,-65.03851929385695,41.39648398039435
12865122000120,2010-12-27,2015-07-02,1137,53.2667070217131,53.82422616257474
12865128000105,2011-01-31,2013-02-06,508,6.135678373236897,20.785202012530156
12866378000151,2011-05-05,2020-05-07,2263,79.46348464943853,126.65138767389755
12950529000155,2011-01-18,2020-05-07,2336,186.39423474848945,133.8770965204799
12984749000108,2011-04-15,2020-05-07,2275,118.30258740047337,127.86014254471651
12984542000125,2011-05-18,2016-05-31,1267,59.022471506935204,66.21101998551546
12995151000106,2011-03-09,2013-03-28,516,23.698077777692795,20.613287392415103
12995152000150,2011-09-27,2011-11-10,31,14.584710277598955,1.3206515286162457
13021680000171,2011-09-30,2015-01-26,837,18.964376162369547,34.263660750187654
13057270000180,2011-05-13,2020-05-07,2249,122.8627714463527,126.0460062653927
13057273000114,2011-04-12,2011-08-11,85,3.842189151318398,3.8636476002475773
13089212000139,2011-03-09,2011-11-14,173,-22.803170300316545,7.993968777869753
13094654000173,2011-04-05,2020-05-07,2282,30.396619587719442,128.65835418688354
13323595000168,2011-04-11,2014-03-07,732,34.53984536366885,29.19196421848087
13356303000193,2011-07-08,2020-05-07,2218,108.2598745814543,122.11385374156612
13401188000121,2011-12-28,2020-05-07,2099,117.14523265255137,110.76182020916643
13397846000159,2011-06-20,2020-05-07,2231,266.96002528425123,123.43020914612465
13515893000150,2011-06-22,2020-05-07,2229,123.1325384525288,123.22728293316061
13503227000100,2011-06-20,2020-05-07,2231,122.31241980395664,123.43020914612465
13482677000155,2011-04-28,2019-04-29,2009,124.89923062104728,115.74672858515665
13591984000174,2012-01-30,2012-10-19,182,7.692973666852887,6.119115735092007
13942848000181,2012-02-27,2019-05-29,1821,-68.66331612605747,97.96588907104191
13914546000108,2012-07-31,2020-05-07,1950,38.201514366891054,99.97196852950636
14061256000113,2011-09-22,2016-06-07,1182,-99.99986768227869,60.03953499628083
14049690000188,2012-02-24,2020-05-07,2059,102.71046213477071,107.44232604429666
14091650000102,2011-08-18,2011-09-08,15,0.5149579697542261,0.643865780855224
14083797000142,2011-10-03,2020-05-07,2158,150.25655931986424,116.11816718525927
14082758000120,2011-08-16,2015-02-25,889,-68.60810633911683,37.460126955236085
14180000000125,2012-02-16,2015-06-03,828,33.486454634516804,34.40713832042255
14237078000139,2011-11-28,2020-05-07,2121,7.174717053447188,112.6795996650852
14473196000146,2014-07-30,2017-09-06,783,51.17419758432413,45.184598972504396
14830887000150,2012-05-24,2015-10-20,858,37.05064753662231,37.97570007088788
14823943000129,2012-02-02,2020-05-07,2073,89.86076406811256,108.57483452827519
14985344000101,2014-01-07,2020-05-07,1589,87.80136075948732,79.50383956963634
14951722000136,2012-02-13,2013-02-26,259,6.477972520079334,8.172713826404966
14950881000116,2017-04-13,2020-05-07,767,29.543317078732144,21.485995839832306
13592493000148,2012-05-30,2020-05-07,1993,81.77395859056291,102.67983441054685
13812147000128,2011-09-19,2011-12-19,63,3.553783737534988,2.7041226186677036
13823084000105,2012-03-27,2020-05-07,2037,104.17014908412052,105.75523899580146
13910434000170,2012-03-14,2020-05-07,2046,62.76552824225581,106.42187897537818
13918308000162,2011-08-02,2013-12-30,608,3.7855503852376238,22.548376079951193
13950054000160,2011-09-26,2013-10-08,513,14.840796730313066,18.00482742888374
13950067000139,2012-01-06,2012-12-12,235,14.266662716591473,7.848575146779102
13958691000182,2011-10-13,2020-05-07,2148,109.90342432186995,115.44523410978691
13958697000150,2011-10-05,2012-05-04,146,6.6773416573171485,5.900243568278896
13969728000178,2013-04-22,2018-05-04,1266,26.624869061741286,70.16041034963297
14052303000162,2011-08-18,2013-10-30,555,-83.98573726426105,20.07522733213849
14082768000166,2011-09-05,2011-10-03,19,1.1216025310380795,0.8498967784888789
14097876000102,2011-09-29,2015-11-12,1037,343.1428936328544,48.29835687298074
14188162000100,2012-02-08,2020-05-07,2069,110.95837017274582,108.25037430810967
14298701000163,2012-04-04,2020-05-07,2031,109.04426056466923,105.31134044516412
14417948000151,2012-01-24,2017-12-26,1488,88.19246754140808,82.81922722503087
14473082000104,2013-04-22,2018-11-22,1405,84.79194575520468,76.07687683944215
14438229000117,2014-10-31,2020-05-07,1382,202.3238555415503,65.15696250475389
14568718000193,2011-12-02,2020-05-07,2107,317.13307042916614,112.32061628247743
14628417000108,2012-01-27,2017-06-29,1362,79.98159222279718,75.54726467467935
14706930000170,2012-05-29,2020-05-07,1994,128.96540579308117,102.74760649357711
14822262000146,2012-02-22,2020-05-07,2061,117.67163745177429,107.60363965238243
14843673000118,2016-04-11,2020-05-07,1022,69.22864385018113,38.261564555587604
15060250000194,2012-04-09,2017-09-26,1376,5.599722665869278,76.20769153663258
